2022-03-30 15:21:42 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Кипр
2022-03-30 15:21:42 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Португалия
2022-03-30 15:21:50 INFO  FileWriter:35 - Старт заполнения файла 'Кения.txt'
2022-03-30 15:21:50 INFO  FileWriter:27 - Создан файл Кения.txt
2022-03-30 15:21:50 INFO  FileWriter:42 - Файл 'Кения.txt' заполнен успешно
2022-03-30 15:21:56 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Болгария
2022-03-30 15:21:56 INFO  FileWriter:35 - Старт заполнения файла 'Судан.txt'
2022-03-30 15:21:56 INFO  FileWriter:27 - Создан файл Судан.txt
2022-03-30 15:21:56 INFO  FileWriter:42 - Файл 'Судан.txt' заполнен успешно
2022-03-30 15:22:00 INFO  FileWriter:35 - Старт заполнения файла 'Кипр.txt'
2022-03-30 15:22:00 INFO  FileWriter:27 - Создан файл Кипр.txt
2022-03-30 15:22:00 INFO  FileWriter:42 - Файл 'Кипр.txt' заполнен успешно
2022-03-30 15:22:00 INFO  FileWriter:35 - Старт заполнения файла 'Португалия.txt'
2022-03-30 15:22:00 INFO  FileWriter:27 - Создан файл Португалия.txt
2022-03-30 15:22:00 INFO  FileWriter:42 - Файл 'Португалия.txt' заполнен успешно
2022-03-30 15:22:01 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Литва
2022-03-30 15:22:06 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Латвия
2022-03-30 15:22:06 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Эстония
2022-03-30 15:22:12 INFO  FileWriter:35 - Старт заполнения файла 'Болгария.txt'
2022-03-30 15:22:12 INFO  FileWriter:27 - Создан файл Болгария.txt
2022-03-30 15:22:12 INFO  FileWriter:42 - Файл 'Болгария.txt' заполнен успешно
2022-03-30 15:22:13 INFO  FileWriter:35 - Старт заполнения файла 'Литва.txt'
2022-03-30 15:22:13 INFO  FileWriter:27 - Создан файл Литва.txt
2022-03-30 15:22:13 INFO  FileWriter:42 - Файл 'Литва.txt' заполнен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Россия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Россия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Россия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Россия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Россия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Россия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Россия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Египет.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Египет.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Египет.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Египет завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Греция.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Греция.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Греция.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Греция завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Нидерланды.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Нидерланды.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Нидерланды.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Нидерланды завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Франция.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Франция.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Франция.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Франция завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Испания.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Испания.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Испания.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Испания завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Италия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Италия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Италия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Италия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Румыния.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Румыния.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Румыния.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Румыния завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Британия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Британия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Британия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Британия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Дания.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Дания.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Дания.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Дания завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Швеция.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Швеция.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Швеция.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Швеция завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Польша.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Польша.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Польша.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Польша завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Германия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Германия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Германия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Германия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Перу.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Перу.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Перу.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Перу завершен успешно
